Window,Num threads,Num locks,Num unique good writes,Max stack size,Max seen size,Num mmaps,Time taken (sec),Window result
112,1,0,5,0,1,10,3,0,true
113,1,3,4,3,1,10,3,0,true
114,1,4,1,3,1,10,3,0,true
115,2,1,5,1,4,33,3,0.002,true
116,1,1,4,2,1,10,3,0,true
117,2,3,3,2,4,24,3,0.002,true
118,1,1,2,1,1,10,3,0,true
119,1,0,1,0,1,10,3,0,true
120,2,1,3,1,4,20,3,0.001,true
121,2,1,4,1,6,43,3,0.003,true
122,1,1,3,1,1,10,3,0,true
123,1,1,3,1,1,10,3,0,true
124,1,0,2,0,1,10,3,0,true
125,1,2,4,2,1,10,3,0,true
126,1,2,2,2,1,10,3,0,true
127,1,2,3,1,1,10,3,0,true
128,1,2,4,1,1,10,3,0,true
129,1,0,2,0,1,10,3,0,true
130,1,0,2,0,1,10,3,0,true
131,1,1,5,1,1,10,3,0,true
132,1,2,5,2,1,10,3,0.001,true
133,1,2,2,2,1,10,3,0,true
134,1,1,5,1,1,10,3,0,true
135,1,2,5,2,1,10,3,0,true
136,1,2,2,1,1,10,3,0,true
137,1,0,4,0,1,10,3,0,true
138,1,1,4,1,1,10,3,0,true
139,1,1,3,1,1,10,3,0,true
140,1,1,4,1,1,10,3,0.001,true
141,1,3,3,3,1,10,3,0,true
142,1,3,4,1,1,10,3,0.001,true
143,2,1,4,1,7,43,3,0.004,true
144,1,3,4,3,1,10,3,0,true
145,1,2,3,2,1,10,3,0,true
146,2,0,4,0,8,49,3,0.004,true
147,1,0,1,0,1,10,3,0,true
148,1,1,5,1,1,10,3,0,true
149,2,1,4,1,10,51,3,0.005,true
150,1,1,4,1,1,10,3,0,true
151,1,2,5,2,1,10,3,0,true
152,1,3,2,2,1,10,3,0,true
153,2,0,5,0,8,49,3,0.004,true
154,1,0,2,0,1,10,3,0,true
155,1,0,2,0,1,10,3,0,true
156,1,0,2,0,1,10,3,0,true
157,1,0,2,0,1,10,3,0,true
158,1,0,2,0,1,10,3,0,true
159,1,1,2,0,1,10,3,0.001,true
160,1,1,3,0,1,10,3,0,true
161,1,0,1,0,1,10,3,0.001,true
162,1,0,2,0,1,10,3,0,true
163,1,1,4,1,1,10,3,0,true
164,1,3,3,1,1,10,3,0,true
165,1,3,2,2,1,10,3,0,true
166,1,3,4,1,1,10,3,0,true
167,1,1,4,1,1,10,3,0,true
168,1,2,4,2,1,10,3,0,true
169,1,4,3,2,1,10,3,0,true
170,1,3,3,1,1,10,3,0,true
171,1,1,3,2,1,10,3,0,true
172,1,3,3,2,1,10,3,0,true
173,1,3,4,1,1,10,3,0,true
174,2,1,4,1,3,19,3,0.001,true
175,2,2,5,2,4,33,3,0.003,true
176,1,3,2,2,1,10,3,0.001,true
177,1,3,5,0,1,10,3,0,true
178,2,0,3,0,6,43,3,0.004,true
179,2,1,4,1,3,19,3,0.001,true
180,2,2,5,2,4,33,3,0.003,true
181,1,3,2,2,1,10,3,0,true
182,2,0,5,0,10,51,3,0.005,true
183,2,1,4,1,9,49,3,0.004,true
184,1,2,5,2,1,10,3,0,true
185,1,3,3,2,1,10,3,0,true
186,1,2,3,1,1,10,3,0.001,true
187,1,3,2,1,1,10,3,0,true
188,1,1,3,1,1,10,3,0,true
189,1,2,4,2,1,10,3,0,true
190,1,3,2,1,1,10,3,0,true
191,1,1,3,1,1,10,3,0,true
192,1,2,4,2,1,10,3,0,true
193,1,2,5,2,1,10,3,0,true
194,1,3,2,1,1,10,3,0,true
195,1,1,4,1,1,10,3,0.001,true
196,1,4,3,2,1,10,3,0,true
197,1,3,3,1,1,10,3,0.001,true
198,1,1,4,1,1,10,3,0,true
199,1,2,4,2,1,10,3,0,true
200,1,3,2,2,1,10,3,0,true
201,1,2,5,0,1,10,3,0,true
202,1,2,5,2,1,10,3,0,true
203,1,3,2,1,1,10,3,0,true
204,1,1,4,1,1,10,3,0,true
205,1,1,3,1,1,10,3,0,true
206,1,3,3,2,1,10,3,0,true
207,1,3,4,1,1,10,3,0,true
208,1,1,3,2,1,10,3,0,true
209,1,3,2,2,1,10,3,0,true
210,1,3,5,0,1,10,3,0,true
211,1,1,5,1,1,10,3,0,true
212,1,3,2,2,1,10,3,0,true
213,1,4,1,1,1,10,3,0,true
214,1,4,2,2,1,10,3,0.001,true
215,2,1,4,1,2,19,3,0.002,true
216,1,3,3,2,1,10,3,0,true
217,1,3,5,0,1,10,3,0,true
218,1,1,4,2,1,10,3,0.001,true
219,1,3,2,2,1,10,3,0,true
220,1,3,5,1,1,10,3,0,true
221,1,3,4,2,1,10,3,0,true
222,1,4,2,1,1,10,3,0,true
223,1,3,2,3,1,10,3,0,true
224,2,3,2,2,5,21,3,0.001,true
225,1,3,4,3,1,10,3,0,true
226,1,3,2,2,1,10,3,0,true
227,1,3,5,1,1,10,3,0,true
228,1,3,2,2,1,10,3,0,true
229,1,2,4,2,1,10,3,0,true
230,1,3,2,1,1,10,3,0.001,true
231,1,2,5,2,1,10,3,0,true
232,3,0,3,0,10,83,3,0.009,true
233,2,4,2,2,4,33,3,0.003,true
234,2,4,2,4,3,19,3,0.001,true
235,2,2,3,3,2,19,3,0.002,true
236,1,3,3,2,1,10,3,0.001,true
237,1,3,2,1,1,10,3,0,true
238,3,1,6,1,6,35,3,0.003,true
239,2,2,4,2,3,19,3,0.001,true
240,3,2,5,2,6,35,3,0.004,true
241,2,3,2,2,10,51,3,0.005,true
242,2,3,4,1,6,31,3,0.003,true
243,2,3,3,1,5,33,3,0.003,true
244,2,2,4,2,7,43,3,0.004,true
245,2,1,3,2,3,13,3,0.001,true
246,2,3,4,2,4,33,3,0.003,true
247,1,3,3,1,1,10,3,0.001,true
248,1,1,3,2,1,10,3,0,true
249,1,3,3,2,1,10,3,0,true
250,1,3,4,1,1,10,3,0,true
251,1,2,4,2,1,10,3,0.001,true
252,2,3,3,1,3,19,3,0.001,true
253,2,2,3,1,8,49,3,0.005,true
254,2,3,2,2,3,19,3,0.001,true
255,2,1,5,1,9,49,3,0.005,true
256,2,3,3,2,10,51,3,0.005,true
257,2,1,4,1,9,49,3,0.005,true
258,1,4,2,1,1,10,3,0,true
259,2,2,2,2,4,33,3,0.003,true
260,2,1,4,1,6,43,3,0.004,true
261,2,5,2,3,10,51,3,0.005,true
262,2,4,3,1,6,43,3,0.004,true
263,2,1,5,1,6,43,3,0.004,true
264,1,3,2,2,1,10,3,0,true
265,1,2,4,2,1,10,3,0,true
266,1,3,2,1,1,10,3,0,true
267,1,2,5,2,1,10,3,0,true
268,3,4,1,2,7,40,3,0.004,true
269,2,4,1,3,1,10,3,0,true
270,2,2,3,1,6,43,3,0.005,true
271,2,5,2,5,3,19,3,0.001,true
272,2,3,1,4,3,26,3,0.002,true
273,2,5,1,5,7,43,3,0.004,true
274,2,2,4,2,10,51,3,0.006,true
275,3,2,4,2,9,59,3,0.006,true
276,2,3,4,1,3,19,3,0.001,true
277,1,1,3,2,1,10,3,0,true
278,1,3,3,2,1,10,3,0.001,true
279,1,3,4,1,1,10,3,0,true
280,1,2,4,2,1,10,3,0,true
281,1,3,2,1,1,10,3,0,true
282,3,2,2,1,6,44,3,0.005,true
283,2,4,2,4,3,19,3,0.001,true
284,1,3,3,4,1,10,3,0,true
285,1,3,3,2,1,10,3,0,true
286,1,3,5,1,1,10,3,0,true
287,1,1,4,1,1,10,3,0.001,true
288,1,3,1,2,1,10,3,0,true
289,1,2,5,1,1,10,3,0,true
290,1,2,4,2,1,10,3,0.001,true
291,1,4,2,1,1,10,3,0,true
292,1,2,2,2,1,10,3,0,true
293,1,3,3,4,1,10,3,0,true
294,3,2,5,1,12,109,3,0.013,true
295,1,3,1,1,1,10,3,0,true
296,1,1,5,1,1,10,3,0,true
297,1,3,3,3,1,10,3,0,true
298,1,4,3,2,1,10,3,0,true
299,1,3,3,1,1,10,3,0.001,true
300,2,3,4,2,5,33,3,0.003,true
301,1,0,1,0,1,10,3,0,true
302,1,1,1,1,1,10,3,0,true
303,2,2,2,1,4,27,3,0.002,true
304,2,2,3,2,9,48,3,0.005,true
305,2,2,2,3,5,27,3,0.003,true
306,1,6,0,2,1,10,3,0,true
307,1,9,0,2,1,10,3,0.001,true
308,1,4,1,2,1,10,3,0.001,true
309,1,5,1,4,1,10,3,0,true
310,1,2,4,2,1,10,3,0,true
311,2,3,3,3,10,51,3,0.005,true
312,1,6,0,2,1,10,3,0.001,true
313,1,8,0,2,1,10,3,0,true
314,1,3,2,1,1,10,3,0,true
315,1,6,0,5,1,10,3,0,true
316,1,2,4,2,1,10,3,0,true
317,1,1,2,0,1,3,3,0,true
